,date,region,sales
0,2018-02-06,north,1638.0
1,2018-02-06,south,1647.0
2,2018-02-06,east,1731.0
3,2018-02-06,west,1557.0
28,2018-02-07,north,1587.0
29,2018-02-07,south,1698.0
30,2018-02-07,east,1542.0
31,2018-02-07,west,1635.0
56,2018-02-08,north,1602.0
57,2018-02-08,south,1536.0
58,2018-02-08,east,1503.0
59,2018-02-08,west,1701.0
84,2018-02-09,north,1758.0
85,2018-02-09,south,1662.0
86,2018-02-09,east,1782.0
87,2018-02-09,west,1515.0
112,2018-02-10,north,1662.0
113,2018-02-10,south,1557.0
114,2018-02-10,east,1650.0
115,2018-02-10,west,1674.0
140,2018-02-11,north,1554.0
141,2018-02-11,south,1587.0
142,2018-02-11,east,1563.0
143,2018-02-11,west,1764.0
168,2018-02-12,north,1758.0
169,2018-02-12,south,1608.0
170,2018-02-12,east,1569.0
171,2018-02-12,west,1653.0
196,2018-02-13,north,1572.0
197,2018-02-13,south,1716.0
198,2018-02-13,east,1773.0
199,2018-02-13,west,1725.0
224,2018-02-14,north,1767.0
225,2018-02-14,south,1710.0
226,2018-02-14,east,1698.0
227,2018-02-14,west,1512.0
252,2018-02-15,north,1746.0
253,2018-02-15,south,1734.0
254,2018-02-15,east,1524.0
255,2018-02-15,west,1614.0
280,2018-02-16,north,1578.0
281,2018-02-16,south,1782.0
282,2018-02-16,east,1527.0
283,2018-02-16,west,1752.0
308,2018-02-17,north,1785.0
309,2018-02-17,south,1689.0
310,2018-02-17,east,1641.0
311,2018-02-17,west,1575.0
336,2018-02-18,north,1644.0
337,2018-02-18,south,1674.0
338,2018-02-18,east,1551.0
339,2018-02-18,west,1737.0
364,2018-02-19,north,1563.0
365,2018-02-19,south,1647.0
366,2018-02-19,east,1605.0
367,2018-02-19,west,1539.0
392,2018-02-20,north,1698.0
393,2018-02-20,south,1575.0
394,2018-02-20,east,1500.0
395,2018-02-20,west,1551.0
420,2018-02-21,north,1737.0
421,2018-02-21,south,1542.0
422,2018-02-21,east,1665.0
423,2018-02-21,west,1548.0
448,2018-02-22,north,1635.0
449,2018-02-22,south,1632.0
450,2018-02-22,east,1668.0
451,2018-02-22,west,1764.0
476,2018-02-23,north,1533.0
477,2018-02-23,south,1563.0
478,2018-02-23,east,1641.0
479,2018-02-23,west,1773.0
504,2018-02-24,north,1629.0
505,2018-02-24,south,1698.0
506,2018-02-24,east,1725.0
507,2018-02-24,west,1722.0
532,2018-02-25,north,1596.0
533,2018-02-25,south,1710.0
534,2018-02-25,east,1635.0
535,2018-02-25,west,1659.0
560,2018-02-26,north,1686.0
561,2018-02-26,south,1533.0
562,2018-02-26,east,1524.0
563,2018-02-26,west,1530.0
588,2018-02-27,north,1665.0
589,2018-02-27,south,1695.0
590,2018-02-27,east,1578.0
591,2018-02-27,west,1620.0
616,2018-02-28,north,1767.0
617,2018-02-28,south,1593.0
618,2018-02-28,east,1743.0
619,2018-02-28,west,1557.0
644,2018-03-01,north,1668.0
645,2018-03-01,south,1782.0
646,2018-03-01,east,1527.0
647,2018-03-01,west,1668.0
672,2018-03-02,north,1635.0
673,2018-03-02,south,1569.0
674,2018-03-02,east,1746.0
675,2018-03-02,west,1773.0
700,2018-03-03,north,1539.0
701,2018-03-03,south,1500.0
702,2018-03-03,east,1569.0
703,2018-03-03,west,1557.0
728,2018-03-04,north,1773.0
729,2018-03-04,south,1644.0
730,2018-03-04,east,1614.0
731,2018-03-04,west,1674.0
756,2018-03-05,north,1533.0
757,2018-03-05,south,1653.0
758,2018-03-05,east,1557.0
759,2018-03-05,west,1746.0
784,2018-03-06,north,1719.0
785,2018-03-06,south,1719.0
786,2018-03-06,east,1659.0
787,2018-03-06,west,1800.0
812,2018-03-07,north,1581.0
813,2018-03-07,south,1602.0
814,2018-03-07,east,1608.0
815,2018-03-07,west,1650.0
840,2018-03-08,north,1611.0
841,2018-03-08,south,1530.0
842,2018-03-08,east,1698.0
843,2018-03-08,west,1668.0
868,2018-03-09,north,1746.0
869,2018-03-09,south,1524.0
870,2018-03-09,east,1506.0
871,2018-03-09,west,1704.0
896,2018-03-10,north,1788.0
897,2018-03-10,south,1719.0
898,2018-03-10,east,1746.0
899,2018-03-10,west,1584.0
924,2018-03-11,north,1692.0
925,2018-03-11,south,1635.0
926,2018-03-11,east,1608.0
927,2018-03-11,west,1590.0
952,2018-03-12,north,1599.0
953,2018-03-12,south,1518.0
954,2018-03-12,east,1602.0
955,2018-03-12,west,1659.0
980,2018-03-13,north,1644.0
981,2018-03-13,south,1611.0
982,2018-03-13,east,1554.0
983,2018-03-13,west,1515.0
1008,2018-03-14,north,1515.0
1009,2018-03-14,south,1632.0
1010,2018-03-14,east,1512.0
1011,2018-03-14,west,1776.0
1036,2018-03-15,north,1677.0
1037,2018-03-15,south,1503.0
1038,2018-03-15,east,1605.0
1039,2018-03-15,west,1647.0
1064,2018-03-16,north,1506.0
1065,2018-03-16,south,1737.0
1066,2018-03-16,east,1590.0
1067,2018-03-16,west,1767.0
1092,2018-03-17,north,1593.0
1093,2018-03-17,south,1614.0
1094,2018-03-17,east,1710.0
1095,2018-03-17,west,1662.0
1120,2018-03-18,north,1650.0
1121,2018-03-18,south,1755.0
1122,2018-03-18,east,1698.0
1123,2018-03-18,west,1659.0
1148,2018-03-19,north,1683.0
1149,2018-03-19,south,1509.0
1150,2018-03-19,east,1500.0
1151,2018-03-19,west,1545.0
1176,2018-03-20,north,1647.0
1177,2018-03-20,south,1614.0
1178,2018-03-20,east,1629.0
1179,2018-03-20,west,1677.0
1204,2018-03-21,north,1743.0
1205,2018-03-21,south,1569.0
1206,2018-03-21,east,1593.0
1207,2018-03-21,west,1578.0
1232,2018-03-22,north,1578.0
1233,2018-03-22,south,1581.0
1234,2018-03-22,east,1653.0
1235,2018-03-22,west,1578.0
1260,2018-03-23,north,1761.0
1261,2018-03-23,south,1611.0
1262,2018-03-23,east,1749.0
1263,2018-03-23,west,1764.0
1288,2018-03-24,north,1716.0
1289,2018-03-24,south,1710.0
1290,2018-03-24,east,1800.0
1291,2018-03-24,west,1728.0
1316,2018-03-25,north,1743.0
1317,2018-03-25,south,1764.0
1318,2018-03-25,east,1740.0
1319,2018-03-25,west,1707.0
1344,2018-03-26,north,1509.0
1345,2018-03-26,south,1641.0
1346,2018-03-26,east,1533.0
1347,2018-03-26,west,1752.0
1372,2018-03-27,north,1767.0
1373,2018-03-27,south,1590.0
1374,2018-03-27,east,1533.0
1375,2018-03-27,west,1704.0
1400,2018-03-28,north,1671.0
1401,2018-03-28,south,1527.0
1402,2018-03-28,east,1524.0
1403,2018-03-28,west,1629.0
1428,2018-03-29,north,1722.0
1429,2018-03-29,south,1557.0
1430,2018-03-29,east,1686.0
1431,2018-03-29,west,1779.0
1456,2018-03-30,north,1734.0
1457,2018-03-30,south,1776.0
1458,2018-03-30,east,1554.0
1459,2018-03-30,west,1725.0
1484,2018-03-31,north,1617.0
1485,2018-03-31,south,1635.0
1486,2018-03-31,east,1605.0
1487,2018-03-31,west,1785.0
1512,2018-04-01,north,1761.0
1513,2018-04-01,south,1530.0
1514,2018-04-01,east,1710.0
1515,2018-04-01,west,1506.0
1540,2018-04-02,north,1509.0
1541,2018-04-02,south,1797.0
1542,2018-04-02,east,1662.0
1543,2018-04-02,west,1530.0
1568,2018-04-03,north,1767.0
1569,2018-04-03,south,1767.0
1570,2018-04-03,east,1614.0
1571,2018-04-03,west,1533.0
1596,2018-04-04,north,1767.0
1597,2018-04-04,south,1761.0
1598,2018-04-04,east,1566.0
1599,2018-04-04,west,1623.0
1624,2018-04-05,north,1506.0
1625,2018-04-05,south,1512.0
1626,2018-04-05,east,1692.0
1627,2018-04-05,west,1749.0
1652,2018-04-06,north,1701.0
1653,2018-04-06,south,1752.0
1654,2018-04-06,east,1632.0
1655,2018-04-06,west,1515.0
1680,2018-04-07,north,1725.0
1681,2018-04-07,south,1611.0
1682,2018-04-07,east,1788.0
1683,2018-04-07,west,1617.0
1708,2018-04-08,north,1656.0
1709,2018-04-08,south,1674.0
1710,2018-04-08,east,1557.0
1711,2018-04-08,west,1701.0
1736,2018-04-09,north,1686.0
1737,2018-04-09,south,1782.0
1738,2018-04-09,east,1641.0
1739,2018-04-09,west,1557.0
1764,2018-04-10,north,1686.0
1765,2018-04-10,south,1527.0
1766,2018-04-10,east,1698.0
1767,2018-04-10,west,1728.0
1792,2018-04-11,north,1671.0
1793,2018-04-11,south,1527.0
1794,2018-04-11,east,1581.0
1795,2018-04-11,west,1764.0
1820,2018-04-12,north,1653.0
1821,2018-04-12,south,1626.0
1822,2018-04-12,east,1782.0
1823,2018-04-12,west,1749.0
1848,2018-04-13,north,1539.0
1849,2018-04-13,south,1752.0
1850,2018-04-13,east,1674.0
1851,2018-04-13,west,1749.0
1876,2018-04-14,north,1569.0
1877,2018-04-14,south,1794.0
1878,2018-04-14,east,1674.0
1879,2018-04-14,west,1638.0
1904,2018-04-15,north,1515.0
1905,2018-04-15,south,1527.0
1906,2018-04-15,east,1602.0
1907,2018-04-15,west,1653.0
1932,2018-04-16,north,1602.0
1933,2018-04-16,south,1707.0
1934,2018-04-16,east,1548.0
1935,2018-04-16,west,1527.0
1960,2018-04-17,north,1599.0
1961,2018-04-17,south,1728.0
1962,2018-04-17,east,1704.0
1963,2018-04-17,west,1539.0
1988,2018-04-18,north,1545.0
1989,2018-04-18,south,1797.0
1990,2018-04-18,east,1515.0
1991,2018-04-18,west,1719.0
2016,2018-04-19,north,1713.0
2017,2018-04-19,south,1674.0
2018,2018-04-19,east,1767.0
2019,2018-04-19,west,1767.0
2044,2018-04-20,north,1668.0
2045,2018-04-20,south,1620.0
2046,2018-04-20,east,1677.0
2047,2018-04-20,west,1509.0
2072,2018-04-21,north,1683.0
2073,2018-04-21,south,1743.0
2074,2018-04-21,east,1644.0
2075,2018-04-21,west,1578.0
2100,2018-04-22,north,1572.0
2101,2018-04-22,south,1545.0
2102,2018-04-22,east,1557.0
2103,2018-04-22,west,1626.0
2128,2018-04-23,north,1710.0
2129,2018-04-23,south,1659.0
2130,2018-04-23,east,1665.0
2131,2018-04-23,west,1521.0
2156,2018-04-24,north,1503.0
2157,2018-04-24,south,1650.0
2158,2018-04-24,east,1689.0
2159,2018-04-24,west,1743.0
2184,2018-04-25,north,1623.0
2185,2018-04-25,south,1503.0
2186,2018-04-25,east,1758.0
2187,2018-04-25,west,1557.0
2212,2018-04-26,north,1713.0
2213,2018-04-26,south,1734.0
2214,2018-04-26,east,1740.0
2215,2018-04-26,west,1563.0
2240,2018-04-27,north,1716.0
2241,2018-04-27,south,1791.0
2242,2018-04-27,east,1674.0
2243,2018-04-27,west,1716.0
2268,2018-04-28,north,1632.0
2269,2018-04-28,south,1641.0
2270,2018-04-28,east,1584.0
2271,2018-04-28,west,1590.0
2296,2018-04-29,north,1713.0
